Date,Nifty,Nikkei,HangSeng,DAX,SP500,Nasdaq,US_10Y,DXY,Gold,Oil,Bitcoin
2010-01-04,5232.2001953125,10654.7900390625,21823.279296875,6048.2998046875,1132.989990234375,1886.699951171875,3.8410000801086426,77.52999877929688,1117.699951171875,80.12000274658203,
2010-01-05,5277.89990234375,10681.830078125,22279.580078125,6031.85986328125,1136.52001953125,1888.4300537109375,3.755000114440918,77.62000274658203,1118.0999755859375,80.58999633789062,
2010-01-06,5281.7998046875,10731.4501953125,22416.669921875,6034.330078125,1137.1400146484375,1878.4200439453125,3.808000087738037,77.48999786376953,1135.9000244140625,81.88999938964844,
2010-01-07,5263.10009765625,10681.66015625,22269.44921875,6019.35986328125,1141.68994140625,1876.719970703125,3.822000026702881,77.91000366210938,1133.0999755859375,81.51000213623047,
2010-01-08,5244.75,10798.3203125,22296.75,6037.60986328125,1144.97998046875,1892.5899658203125,3.808000087738037,77.47000122070312,1138.199951171875,81.37000274658203,
2010-01-11,5249.39990234375,10798.3203125,22411.51953125,6040.5,1146.97998046875,1886.239990234375,3.818000078201294,77.0,1150.699951171875,80.97000122070312,
2010-01-12,5210.39990234375,10879.1396484375,22326.640625,5943.0,1136.219970703125,1861.7900390625,3.7190001010894775,76.94999694824219,1128.9000244140625,79.30000305175781,
2010-01-13,5233.9501953125,10735.0302734375,21748.599609375,5963.14013671875,1145.6800537109375,1886.1300048828125,3.7829999923706055,76.8499984741211,1136.4000244140625,78.30999755859375,
2010-01-14,5259.89990234375,10907.6796875,21716.94921875,5988.8798828125,1148.4599609375,1886.52001953125,3.7339999675750732,76.7300033569336,1142.5999755859375,77.81999969482422,
2010-01-15,5252.2001953125,10982.099609375,21654.16015625,5875.97021484375,1136.030029296875,1864.52001953125,3.6760001182556152,77.31999969482422,1130.0999755859375,77.11000061035156,
2010-01-18,5274.85009765625,10855.080078125,21460.009765625,5918.5498046875,1136.030029296875,1864.52001953125,3.6760001182556152,77.31999969482422,1130.0999755859375,77.11000061035156,
2010-01-19,5225.64990234375,10764.900390625,21677.98046875,5976.47998046875,1150.22998046875,1895.47998046875,3.7070000171661377,77.5,1139.699951171875,77.62999725341797,
2010-01-20,5221.7001953125,10737.51953125,21286.169921875,5851.52978515625,1138.0400390625,1867.949951171875,3.6589999198913574,78.33999633789062,1112.300048828125,76.31999969482422,
2010-01-21,5094.14990234375,10868.41015625,20862.669921875,5746.97021484375,1116.47998046875,1850.5699462890625,3.6110000610351562,78.31999969482422,1102.699951171875,74.58000183105469,
2010-01-22,5036.0,10590.5498046875,20726.1796875,5695.31982421875,1091.760009765625,1794.8199462890625,3.5980000495910645,78.27999877929688,1089.199951171875,72.83000183105469,
2010-01-25,5007.89990234375,10512.6904296875,20598.55078125,5631.3701171875,1096.780029296875,1802.3900146484375,3.630000114440918,78.19000244140625,1095.199951171875,73.69000244140625,
2010-01-26,5007.89990234375,10325.2802734375,20109.330078125,5668.93017578125,1092.1700439453125,1803.8599853515625,3.630000114440918,78.43000030517578,1097.9000244140625,73.29000091552734,
2010-01-27,4853.10009765625,10252.080078125,20033.0703125,5643.2001953125,1097.5,1818.9000244140625,3.6440000534057617,78.68000030517578,1084.4000244140625,72.23999786376953,
2010-01-28,4867.25,10414.2900390625,20356.369140625,5540.330078125,1084.530029296875,1771.0999755859375,3.6579999923706055,78.9000015258789,1083.5999755859375,72.12999725341797,
2010-01-29,4882.0498046875,10198.0400390625,20121.990234375,5608.7900390625,1073.8699951171875,1741.0400390625,3.6089999675750732,79.45999908447266,1083.0,71.45999908447266,
2010-02-01,4899.7001953125,10205.01953125,20243.75,5654.47998046875,1089.18994140625,1760.719970703125,3.6540000438690186,79.23999786376953,1104.300048828125,73.11000061035156,
2010-02-02,4830.10009765625,10371.08984375,20272.1796875,5709.66015625,1103.3199462890625,1776.9200439453125,3.634999990463257,79.01000213623047,1117.4000244140625,76.05999755859375,
2010-02-03,4931.85009765625,10404.330078125,20722.080078125,5672.08984375,1097.280029296875,1784.699951171875,3.703000068664551,79.37000274658203,1111.4000244140625,75.91999816894531,
2010-02-04,4845.35009765625,10355.98046875,20341.640625,5533.240234375,1063.1099853515625,1732.989990234375,3.609999895095825,79.91999816894531,1062.4000244140625,72.12999725341797,
2010-02-05,4718.64990234375,10057.08984375,19665.080078125,5434.33984375,1066.18994140625,1746.1199951171875,3.5460000038146973,80.44000244140625,1052.199951171875,69.58999633789062,
2010-02-08,4760.39990234375,9951.8203125,19550.890625,5484.85009765625,1056.739990234375,1734.8800048828125,3.5920000076293945,80.30000305175781,1065.699951171875,70.11000061035156,
2010-02-09,4792.64990234375,9932.900390625,19790.279296875,5498.259765625,1070.52001953125,1753.8399658203125,3.632999897003174,79.86000061035156,1076.699951171875,72.12999725341797,
2010-02-10,4757.2001953125,9963.990234375,19922.220703125,5536.3701171875,1068.1300048828125,1749.760009765625,3.694000005722046,80.02999877929688,1075.800048828125,72.54000091552734,
2010-02-11,4826.85009765625,9963.990234375,20290.689453125,5503.93017578125,1078.469970703125,1775.739990234375,3.7330000400543213,79.98999786376953,1094.199951171875,73.05000305175781,
2010-02-12,4826.85009765625,10092.1904296875,20268.689453125,5500.39013671875,1075.510009765625,1779.1099853515625,3.693000078201294,80.31999969482422,1089.5,72.9000015258789,
2010-02-15,4801.9501953125,10013.2998046875,20268.689453125,5511.10009765625,1075.510009765625,1779.1099853515625,3.693000078201294,80.31999969482422,1089.5,72.9000015258789,
2010-02-16,4855.75,10034.25,20268.689453125,5592.1201171875,1094.8699951171875,1802.06005859375,3.6640000343322754,79.69999694824219,1119.300048828125,75.68000030517578,
2010-02-17,4914.0,10306.830078125,20534.009765625,5648.33984375,1099.510009765625,1810.8599853515625,3.742000102996826,80.37999725341797,1119.5,76.2699966430664,
2010-02-18,4887.75,10335.6904296875,20422.150390625,5680.41015625,1106.75,1823.3900146484375,3.802999973297119,80.4000015258789,1118.0,77.77999877929688,
2010-02-19,4844.89990234375,10123.580078125,19894.01953125,5722.0498046875,1109.1700439453125,1823.3199462890625,3.7820000648498535,80.63999938964844,1121.300048828125,78.19000244140625,
2010-02-22,4856.39990234375,10400.4697265625,20377.26953125,5688.43994140625,1108.010009765625,1817.6300048828125,3.7990000247955322,80.51000213623047,1112.5999755859375,78.61000061035156,
2010-02-23,4870.0498046875,10352.099609375,20623.0,5604.06982421875,1094.5999755859375,1793.8199462890625,3.690999984741211,80.8499984741211,1102.699951171875,77.25,
2010-02-24,4858.60009765625,10198.830078125,20467.740234375,5615.509765625,1105.239990234375,1812.510009765625,3.694999933242798,80.8499984741211,1096.5,78.08999633789062,
2010-02-25,4859.75,10101.9599609375,20399.5703125,5532.330078125,1102.93994140625,1812.9100341796875,3.6419999599456787,80.79000091552734,1107.800048828125,76.29000091552734,
2010-02-26,4922.2998046875,10126.0302734375,20608.69921875,5598.4599609375,1104.489990234375,1818.6800537109375,3.5950000286102295,80.36000061035156,1118.300048828125,77.58999633789062,
2010-03-01,4922.2998046875,10172.0595703125,21056.9296875,5713.509765625,1115.7099609375,1846.4000244140625,3.6059999465942383,80.66000366210938,1117.800048828125,76.88999938964844,
2010-03-02,5017.0,10221.83984375,20906.109375,5776.56005859375,1118.31005859375,1851.2099609375,3.614000082015991,80.5199966430664,1136.9000244140625,78.18000030517578,
2010-03-03,5088.10009765625,10253.1396484375,20876.7890625,5817.8798828125,1118.7900390625,1851.5699462890625,3.625,79.9800033569336,1142.699951171875,79.25,
2010-03-04,5080.25,10145.7197265625,20575.779296875,5795.31982421875,1122.969970703125,1859.719970703125,3.6059999465942383,80.55999755859375,1132.5999755859375,78.54000091552734,
2010-03-05,5088.7001953125,10368.9599609375,20787.970703125,5877.35986328125,1138.699951171875,1888.56005859375,3.681999921798706,80.43000030517578,1134.800048828125,79.88999938964844,
2010-03-08,5124.0,10585.919921875,21196.869140625,5875.91015625,1138.5,1890.8900146484375,3.7079999446868896,80.43000030517578,1123.5999755859375,80.47000122070312,
2010-03-09,5101.5,10567.650390625,21207.55078125,5885.89013671875,1140.449951171875,1901.3800048828125,3.7009999752044678,80.58999633789062,1122.0,79.91000366210938,
2010-03-10,5116.25,10563.919921875,21208.2890625,5936.72021484375,1145.6099853515625,1917.3499755859375,3.7200000286102295,80.44999694824219,1107.800048828125,80.4800033569336,
2010-03-11,5133.39990234375,10664.9501953125,21228.19921875,5928.6298828125,1150.239990234375,1923.81005859375,3.7200000286102295,80.31999969482422,1108.0,80.27999877929688,
2010-03-12,5137.0,10751.259765625,21209.740234375,5945.10986328125,1149.989990234375,1924.4300537109375,3.7100000381469727,79.83000183105469,1101.5,79.38999938964844,
2010-03-15,5128.89990234375,10751.98046875,21079.099609375,5903.56005859375,1150.510009765625,1920.0899658203125,3.7039999961853027,80.25,1105.0999755859375,77.88999938964844,
2010-03-16,5198.10009765625,10721.7099609375,21022.9296875,5970.990234375,1159.4599609375,1932.239990234375,3.6530001163482666,79.75,1122.199951171875,79.0199966430664,
2010-03-17,5231.89990234375,10846.98046875,21384.490234375,6024.27978515625,1166.2099609375,1936.219970703125,3.6419999599456787,79.63999938964844,1124.0,81.95999908447266,
2010-03-18,5245.89990234375,10744.0302734375,21330.669921875,6012.31005859375,1165.8299560546875,1943.93994140625,3.671999931335449,80.22000122070312,1127.4000244140625,81.4800033569336,
2010-03-19,5262.7998046875,10824.7197265625,21370.8203125,5982.43017578125,1159.9000244140625,1932.4300537109375,3.687000036239624,80.72000122070312,1107.4000244140625,79.87999725341797,
2010-03-22,5205.2001953125,10824.7197265625,20933.25,5987.5,1165.81005859375,1949.5899658203125,3.6630001068115234,80.6500015258789,1099.300048828125,80.54000091552734,
2010-03-23,5225.2998046875,10774.150390625,20987.779296875,6017.27001953125,1174.1700439453125,1963.199951171875,3.680000066757202,80.9000015258789,1103.5,80.69999694824219,
2010-03-24,5225.2998046875,10815.0302734375,21008.619140625,6039.0,1167.719970703125,1951.8399658203125,3.8289999961853027,81.83999633789062,1088.5999755859375,79.62000274658203,
2010-03-25,5260.39990234375,10828.849609375,20778.55078125,6132.9501953125,1165.72998046875,1949.1500244140625,3.9010000228881836,82.12000274658203,1092.699951171875,79.61000061035156,
2010-03-26,5282.0,10996.3701171875,21053.109375,6120.0498046875,1166.5899658203125,1952.6300048828125,3.8550000190734863,81.68000030517578,1104.199951171875,79.29000091552734,
2010-03-29,5302.85009765625,10986.4697265625,21237.4296875,6156.85009765625,1173.219970703125,1961.219970703125,3.864000082015991,81.36000061035156,1110.300048828125,81.16999816894531,
2010-03-30,5262.4501953125,11097.1396484375,21374.7890625,6142.4501953125,1173.27001953125,1967.9599609375,3.868000030517578,81.47000122070312,1104.5,81.27999877929688,
